elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
3.52;-1.022;0.281;-0.066;21.761;87.782;29.642
3.53;-1.012;0.248;-0.075;24.848;88.064;27.934
3.54;-1.01;0.228;-0.094;28.11;87.851;26.433
3.55;-1.015;0.224;-0.109;29.855;87.34;25.259
3.56;-1.023;0.229;-0.114;29.116;86.197;24.779
3.57;-1.024;0.232;-0.113;26.898;85.297;25.389
3.58;-1.008;0.223;-0.109;25.953;85.457;26.319
3.59;-0.996;0.21;-0.118;25.938;87.233;26.601
3.6;-1.009;0.193;-0.142;25.785;88.88;26.677
3.61;-1.033;0.19;-0.184;25.381;88.369;26.288
3.62;-1.048;0.199;-0.219;26.113;85.846;24.916
3.63;-1.049;0.216;-0.239;27.119;82.835;22.454
3.64;-1.049;0.232;-0.239;26.883;79.375;19.992
3.65;-1.056;0.23;-0.219;24.886;75.678;18.178
3.66;-1.067;0.217;-0.178;20.602;71.784;16.806
3.67;-1.081;0.195;-0.123;16.28;67.698;16.197
3.68;-1.095;0.173;-0.052;13.582;63.727;16.646
3.69;-1.112;0.158;0.009;13.361;59.84;17.02
3.7;-1.11;0.144;0.042;15.274;57.096;17.256
3.71;-1.099;0.137;0.057;16.105;56.433;18.041
3.72;-1.116;0.127;0.057;18.163;55.495;19.436
3.73;-1.132;0.104;0.061;23.979;53.506;20.556
3.74;-1.137;0.089;0.073;32.576;52.005;21.555
3.75;-1.119;0.105;0.07;42.546;50.869;22.431
3.76;-1.036;0.142;0.043;50.595;52.058;22.706
3.77;-0.98;0.212;-0.001;53.628;54.97;22.256
3.78;-1.014;0.289;-0.046;52.02;55.412;20.755
3.79;-1.099;0.36;-0.073;47.424;51.898;18.537
3.8;-1.223;0.471;-0.071;39.154;42.188;16.037
3.81;-1.362;0.634;-0.042;25.023;29.604;11.54
3.82;-1.507;0.716;-0.042;6.951;15.846;0.107
3.83;-1.607;0.583;-0.062;-8.194;-2.454;-17.515
3.84;-1.646;0.353;0.005;-23.415;-30.762;-37.553
3.85;-1.579;0.116;0.147;-44.588;-54.375;-59.085
3.86;-1.352;-0.254;0.236;-64.131;-56.067;-69.032
3.87;-1.181;-0.669;0.218;-59.695;-41.242;-57.447
3.88;-1.12;-0.899;0.158;-21.044;-26.273;-43.895
3.89;-1.243;-0.905;0.134;47.462;-39.436;-33.613
3.9;-1.13;-0.673;0.206;118.544;-48.834;-21.806
3.91;-0.863;-0.437;0.122;185.015;-34.543;-9.062
3.92;-0.819;-0.121;-0.122;212.752;-19.787;8.041
3.93;-1.163;0.299;-0.342;191.12;-30.259;24.276
3.94;-1.51;0.755;-0.507;124.322;-41.677;23.697
3.95;-1.709;0.912;-0.775;54.924;-48.087;7.896
3.96;-1.779;0.677;-1.047;26.623;-69.131;-2.599
3.97;-1.625;0.491;-1.046;18.407;-96.014;-4.97
3.98;-1.325;0.494;-0.79;2.431;-109.337;-9.573
3.99;-1.143;0.489;-0.536;-21.387;-111.562;-14.512
4;-1.099;0.434;-0.46;-45.084;-111.814;-13.613
4.01;-1.122;0.445;-0.505;-63.491;-114.566;-11.319
4.02;-1.142;0.51;-0.551;-72.927;-118.041;-11.433
4.03;-1.164;0.529;-0.605;-77.264;-124.55;-12.431
4.04;-1.162;0.503;-0.63;-83.361;-131.387;-11.646
4.05;-1.127;0.503;-0.633;-92.599;-135.297;-10.709
4.06;-1.087;0.503;-0.639;-101.349;-136.448;-11.54
4.07;-1.063;0.491;-0.649;-107.774;-137.21;-14.665
4.08;-1.024;0.452;-0.664;-108.239;-138.216;-18.476
4.09;-0.956;0.416;-0.664;-109.649;-137.485;-22.127
4.1;-0.898;0.392;-0.651;-115.175;-135.465;-25.541
4.11;-0.844;0.351;-0.641;-120.084;-132.752;-28.811
4.12;-0.792;0.304;-0.61;-123.155;-128.803;-32.188
4.13;-0.756;0.261;-0.57;-125.221;-124.062;-35.724
4.14;-0.738;0.202;-0.54;-124.474;-120.008;-39.939
4.15;-0.725;0.124;-0.509;-120.511;-116.517;-43.864
4.16;-0.708;0.067;-0.474;-115.122;-112.439;-46.616
4.17;-0.693;0.028;-0.444;-107.378;-108.232;-48.354
4.18;-0.671;0.006;-0.42;-99.405;-103.331;-50.084
4.19;-0.657;-0.023;-0.398;-92.271;-97.782;-52.066
4.2;-0.648;-0.063;-0.384;-83.811;-92.454;-53.155
4.21;-0.645;-0.1;-0.366;-75.526;-87.98;-52.569
4.22;-0.654;-0.125;-0.314;-69.261;-85.015;-50.64
4.23;-0.66;-0.112;-0.264;-67.858;-80.968;-48.575
4.24;-0.654;-0.114;-0.22;-60.046;-75.488;-45.816
4.25;-0.684;-0.135;-0.202;-46.623;-72.317;-42.127
4.26;-0.742;-0.138;-0.199;-35.198;-70.473;-37.805
4.27;-0.806;-0.121;-0.181;-26.265;-70.427;-33.43
4.28;-0.899;-0.106;-0.126;-15.846;-75.648;-29.085
4.29;-0.984;-0.115;-0.034;-2.302;-82.675;-24.017
4.3;-1.038;-0.107;0.123;9.718;-90.32;-18.643
4.31;-1.037;-0.1;0.333;21.921;-96.433;-14.604
4.32;-0.942;-0.11;0.519;35.678;-90.32;-11.212
4.33;-0.823;-0.11;0.68;39.062;-72.119;-6.562
4.34;-0.81;-0.126;0.847;31.761;-54.649;0.13
4.35;-0.783;-0.174;0.966;27.995;-33.392;8.171
4.36;-0.766;-0.197;1.008;31.532;-10.534;14.36
4.37;-0.85;-0.153;1.014;38.46;4.817;18.049
4.38;-0.934;-0.108;0.923;48.056;16.471;23.582
4.39;-0.942;-0.074;0.765;55.099;29.596;32.309
4.4;-0.875;-0.016;0.58;55.175;46.562;40.625
4.41;-0.798;0.054;0.373;50.549;66.555;46.418
4.42;-0.743;0.155;0.1;44.68;94.36;47.988
4.43;-0.839;0.291;-0.328;28.468;139.139;37.431
4.44;-1.701;0.354;-0.709;3.468;142.599;14.787
4.45;-2.884;0.302;-0.695;-22.759;68.323;-1.608
4.46;-2.868;0.345;-0.432;-103.483;-14.032;3.803
4.47;-1.801;0.245;0.222;-168.384;-20.938;26.723
4.48;-0.837;0.155;0.604;-180.183;26.959;34.566
4.49;-0.459;-0.066;0.464;-151.189;73.331;32.02
4.51;-0.911;-0.115;-0.261;37.058;82.454;38.171
4.52;-1.057;0.15;-0.407;46.509;86.723;39.901
4.55;-0.994;0.19;-0.152;57.127;90.892;38.498
4.56;-0.961;0.076;-0.136;62.538;92.005;35.808
4.61;-0.929;0.228;-0.106;59.444;89.756;33.338
4.62;-0.965;0.225;-0.122;49.276;86.715;31.151
4.63;-1.016;0.241;-0.132;34.771;84.39;29.787
4.64;-1.047;0.273;-0.123;17.294;81.395;29.383
4.65;-1.056;0.309;-0.085;1.814;77.599;29.108
4.66;-1.059;0.346;-0.044;-5.93;74.726;28.643
4.67;-1.051;0.363;-0.004;-7.439;72.805;27.995
4.68;-1.035;0.347;0.031;-6.677;70.595;26.616
4.69;-1.038;0.32;0.066;-4.352;68.735;24.428
4.7;-1.072;0.283;0.099;1.258;67.218;22.561
4.71;-1.095;0.234;0.119;7.782;67.134;21.883
4.72;-1.101;0.182;0.125;12.767;69.497;22.683
4.73;-1.081;0.152;0.113;16.357;73.026;24.581
4.74;-1.044;0.153;0.073;18.544;76.204;26.662
4.75;-1.008;0.164;0.008;22.363;77.226;27.706
4.76;-0.998;0.185;-0.08;26.852;76.441;28.293
4.77;-1.005;0.201;-0.165;30.023;73.407;29.024
4.78;-1.011;0.205;-0.226;33.575;68.963;29.604
4.79;-1.018;0.206;-0.254;35.838;66.311;29.878
4.8;-1.031;0.198;-0.252;37.63;65.808;29.756
4.81;-1.036;0.201;-0.227;39.901;64.764;29.451
4.82;-1.048;0.199;-0.208;42.767;61.479;28.986
4.84;-1.147;0.179;-0.16;44.657;57.058;28.155
4.85;-1.114;0.209;-0.112;43.712;53.72;27.149
4.86;-1.069;0.25;-0.063;40.076;53.293;26.09
4.87;-1.037;0.261;-0.032;36.41;55.45;23.742
4.88;-1.02;0.218;-0.037;35.076;58.453;21.654
4.89;-1.02;0.151;-0.04;36.288;60.671;21.905
4.9;-1.041;0.129;-0.046;38.186;61.204;23.407
4.91;-1.088;0.139;-0.061;41.28;58.178;23.902
4.92;-1.101;0.165;-0.078;43.956;53.399;23.666
4.93;-1.096;0.211;-0.097;44.764;48.354;22.37
4.94;-1.112;0.258;-0.113;44.992;42.942;19.428
4.95;-1.138;0.318;-0.104;43.796;36.936;16.745
4.96;-1.21;0.439;-0.059;36.242;27.896;16.242
4.97;-1.407;0.605;-0.006;21.951;12.081;13.811
4.98;-1.607;0.605;0.031;11.258;-9.97;1.623
4.99;-1.664;0.375;0.086;-0.465;-42.02;-18.346
5;-1.491;0.123;0.28;-20.373;-57.66;-37.424
5.01;-1.184;-0.24;0.356;-29.329;-42.683;-44.985
5.02;-1.194;-0.597;0.266;-18.369;-36.875;-41.12
5.03;-1.23;-0.747;0.217;12.858;-36.235;-37.591
5.04;-1.303;-0.74;0.177;68.948;-48.354;-33.483
5.05;-1.162;-0.551;0.18;134.779;-51.707;-21.845
5.06;-1.048;-0.281;0.021;189.459;-45.358;-8.735
5.07;-1.129;-0.032;-0.282;203.674;-34.2;2.515
5.08;-1.573;0.218;-0.64;171.181;-47.447;11.189
5.09;-1.79;0.504;-0.853;110.213;-66.845;12.881
5.1;-1.709;0.633;-0.922;56.098;-87.767;5.701
5.11;-1.537;0.499;-0.839;32.393;-108.803;-3.857
5.12;-1.287;0.308;-0.69;25.252;-117.005;-11.418
5.13;-1.155;0.164;-0.562;22.248;-119.101;-12.759
5.14;-1.108;0.14;-0.492;15.015;-116.159;-9.832
5.15;-1.127;0.176;-0.49;4.573;-114.093;-6.28
5.16;-1.185;0.214;-0.508;-4.276;-113.819;-5.785
5.17;-1.206;0.188;-0.594;-2.919;-112.965;-4.954
5.18;-1.254;0.188;-0.676;3.011;-118.445;-1.12
5.19;-1.262;0.276;-0.725;1.578;-125.96;1.875
5.2;-1.224;0.367;-0.771;-9.611;-131.852;2.332
5.21;-1.18;0.448;-0.792;-27.34;-138.079;-0.884
5.22;-1.101;0.451;-0.775;-41.997;-143.598;-3.651
5.23;-0.973;0.391;-0.736;-49.139;-144.901;-3.918
5.24;-0.899;0.403;-0.705;-58.986;-144.71;-6.517
5.25;-0.873;0.426;-0.719;-70.602;-145.892;-13.963
5.26;-0.843;0.36;-0.707;-78.415;-145.709;-22.698
5.27;-0.825;0.241;-0.679;-80.008;-144.017;-27.53
5.28;-0.812;0.141;-0.655;-75.412;-142.271;-28.361
5.29;-0.782;0.081;-0.609;-65.137;-140.556;-28.102
5.3;-0.738;0.084;-0.577;-53.78;-138.605;-28.819
5.31;-0.68;0.114;-0.55;-42.744;-134.527;-30.564
5.32;-0.634;0.138;-0.529;-35.183;-129.101;-32.79
5.33;-0.602;0.13;-0.511;-31.601;-122.973;-34.055
5.34;-0.594;0.105;-0.513;-31.029;-116.837;-34.177
5.35;-0.589;0.104;-0.507;-31.905;-110.549;-34.123
5.36;-0.58;0.128;-0.464;-34.444;-103.369;-34.139
5.37;-0.581;0.128;-0.438;-35.983;-97.561;-33.697
5.38;-0.573;0.123;-0.415;-36.997;-93.415;-32.302
5.39;-0.558;0.155;-0.308;-43.582;-87.881;-30.907
5.4;-0.574;0.193;-0.197;-33.308;-79.108;-47.127
5.41;-0.617;0.197;-0.169;-30.861;-72.843;-42.508
5.44;-1;-0.115;0.319;-35.816;-54.649;-30.671
5.45;-1.024;-0.296;0.619;-38.239;-21.159;-14.108
5.46;-0.927;-0.464;1.028;-34.611;12.774;-0.869
5.47;-0.754;-0.583;1.347;-21.616;27.53;7.713
5.48;-0.696;-0.578;1.454;0.191;32.233;18.948
5.49;-0.851;-0.465;1.377;19.268;45.534;32.591
5.5;-0.956;-0.341;1.124;29.215;74.748;44.893
5.51;-0.864;-0.198;0.844;32.82;139.154;52.576
5.52;-0.695;-0.045;0.561;19.085;202.652;43.72
5.53;-0.562;0.093;0.083;20.008;141.677;28.049
5.54;-1.145;0.251;-0.566;-56.784;13.201;15.953
5.55;-2.901;0.296;-0.907;-150.663;-53.704;23.887
5.56;-3.423;0.561;-0.979;-146.326;-13.209;35.274
5.57;-2.386;0.563;-0.413;-99.062;41.479;37.149
5.58;-1.074;0.137;0.405;-58.323;72.82;38.087
5.59;-0.599;-0.18;0.56;-29.466;89.268;41.852
5.6;-0.527;-0.314;0.334;-5.206;95.183;47.881
5.61;-0.622;-0.211;0.073;13.285;88.293;51.052
5.62;-0.817;-0.048;-0.208;30.206;72.378;48.727
5.63;-0.964;0.145;-0.459;37.012;56.951;45.503
5.64;-1.01;0.294;-0.548;56.334;49.085;45.069
5.65;-0.978;0.364;-0.452;70.694;63.941;40.755
5.67;-0.897;0.127;0.059;20.412;70.229;34.832
5.68;-0.859;0.102;0.074;16.433;76.326;36.258
5.71;-0.995;0.383;0.097;20.343;80.587;36.387
5.72;-0.926;0.335;0.058;30.404;80.488;34.062
5.73;-0.904;0.259;-0.038;40.305;77.896;30.13
5.74;-0.921;0.208;-0.146;43.75;76.082;27.142
5.75;-0.946;0.183;-0.217;31.73;78.216;30.907
5.76;-0.971;0.184;-0.244;25.938;76.296;34.619
5.77;-0.991;0.193;-0.256;30.457;75.473;27.927
5.78;-1.012;0.185;-0.275;33.087;75.495;24.192
5.8;-1.016;0.29;-0.245;33.102;75.381;21.707
5.81;-0.99;0.319;-0.219;31.288;74.825;20.785
5.83;-0.987;0.258;-0.206;28.514;74.207;21.364
5.84;-1.011;0.226;-0.188;27.828;74.108;22.416
5.85;-1.035;0.202;-0.165;29.52;73.239;23.445
5.86;-1.043;0.183;-0.151;33.857;70.389;24.451
5.87;-1.045;0.16;-0.148;40.206;66.593;25.32
5.88;-1.069;0.135;-0.147;46.692;62.553;26.547
5.89;-1.088;0.13;-0.14;52.576;58.872;27.774
5.9;-1.103;0.143;-0.125;57.485;56.418;27.904
5.91;-1.097;0.167;-0.11;61.082;54.017;26.944
5.92;-1.086;0.198;-0.086;63.026;50.457;26.067
5.93;-1.098;0.214;-0.069;64.116;46.989;25.96
5.94;-1.126;0.205;-0.041;65.381;45.152;26.037
5.95;-1.137;0.192;0.006;65.046;45.831;25.122
5.96;-1.11;0.194;0.049;64.352;47.401;22.218
5.97;-1.065;0.203;0.084;20.03;-36.509;-45.259
5.98;-1.052;0.204;0.105;9.238;-43.75;-52.889
5.99;-1.067;0.19;0.117;-46.349;-71.57;-21.639
6;-1.075;0.182;0.128;-63.605;-86.608;-31.761
6.11;-1.664;0.916;-0.827;-58.62;-92.348;-36.928
6.12;-1.531;0.662;-0.814;-47.096;-89.535;-36.974
6.13;-1.339;0.37;-0.713;-44.55;-88.407;-35.457
6.14;-1.187;0.183;-0.592;-53.232;-88.506;-30.069
6.15;-1.145;0.159;-0.516;-70.572;-95.473;-20.076
6.16;-1.14;0.177;-0.461;-70.694;-99.337;-20.229
6.31;-0.964;0.022;-0.072;-37.066;-91.768;-15.03
6.32;-1.046;0.002;-0.015;-32.561;-87.896;-12.393
6.38;-0.778;-0.016;0.63;-19.703;-90.694;-11.791
6.39;-0.66;0.093;0.417;-2.576;-94.611;-13.681
6.43;-1.102;-0.509;0.656;-19.383;15.945;26.334
6.44;-0.727;-0.704;0.438;-10.244;32.858;32.759
6.47;-1.016;0.615;-0.426;65.861;38.209;44.924
6.48;-0.954;0.722;-0.352;63.605;41.898;37.508
6.51;-1.016;0.148;-0.186;54.627;68.773;19.306
6.52;-1.164;0.151;-0.139;45.023;62.637;16.623
6.53;-1.177;0.194;-0.008;33.186;58.3;17.691
6.54;-1.098;0.244;0.119;19.146;59.985;21.547
6.55;-0.992;0.253;0.195;12.5;66.098;26.052
6.56;-0.92;0.245;0.159;18.377;72.843;28.849
6.57;-0.899;0.246;0.066;28.209;76.517;28.91
6.58;-0.922;0.238;-0.023;37.165;75.473;26.593
6.63;-0.963;0.212;-0.106;25.694;51.014;21.471
6.64;-0.981;0.211;-0.135;32.294;55.686;20.922
6.68;-1.038;0.201;-0.228;43.575;65.534;16.014
6.69;-1.069;0.172;-0.201;44.489;57.027;14.916
6.7;-1.074;0.186;-0.13;43.529;49.581;15.777
6.71;-1.052;0.223;-0.035;40.739;44.451;16.425
6.72;-1.019;0.253;0.04;37.691;43.079;15.739
6.73;-1.009;0.274;0.061;35.823;44.352;14.482
6.74;-1.016;0.278;0.041;35.389;46.433;13.034
6.75;-1.024;0.274;0.002;33.415;47.82;12.431
6.76;-1.049;0.261;-0.022;29.642;47.614;11.997
6.77;-1.088;0.248;-0.027;25.816;45.61;10.976
6.78;-1.1;0.231;-0.02;24.345;42.79;9.497
6.79;-1.064;0.215;0;24.718;41.242;7.698
6.8;-1.023;0.197;0.011;27.027;41.639;4.657
6.81;-1.035;0.163;0.005;30.038;39.085;0.93
6.82;-1.106;0.134;0.01;31.021;27.149;-2.271
6.83;-1.196;0.143;0.041;27.637;9.223;-4.794
6.84;-1.208;0.146;0.075;19.802;-3.796;-6.837
6.85;-1.134;0.095;0.144;5.991;-8.544;-8.857
6.86;-1.011;0;0.248;-8.049;-3.27;-9.146
6.87;-0.955;-0.072;0.284;-10.366;4.162;-7.706
6.88;-1.059;-0.07;0.252;4.184;3.666;-3.887
6.89;-1.174;0.073;0.215;25.373;5.473;-2.188
6.9;-1.301;0.195;0.128;41.037;6.25;-13.864
6.91;-1.453;0.154;0.087;44.726;-0.526;-28.765
6.92;-1.529;0.063;0.172;44.863;-8.803;-39.154
6.93;-1.547;-0.03;0.267;49.68;-18.537;-48.681
6.94;-1.531;-0.148;0.351;58.133;-26.768;-51.753
6.95;-1.413;-0.209;0.392;74.756;-26.867;-45.541
6.96;-1.188;-0.108;0.282;99.131;-17.134;-32.142
6.97;-1.043;0.133;-0.062;120.351;-9.177;-17.05
6.98;-1.121;0.393;-0.453;116.814;-16.12;-6.387
6.99;-1.391;0.589;-0.683;83.224;-39.977;-3.026
7;-1.602;0.715;-0.771;32.515;-65.373;-5.869
7.01;-1.619;0.71;-0.804;-12.05;-82.348;-9.878
7.02;-1.545;0.618;-0.769;-43.194;-95.732;-23.064
7.03;-1.432;0.562;-0.726;-51.006;-94.055;-22.63
7.04;-1.282;0.45;-0.622;-62.088;-90.16;-20.465
7.05;-1.164;0.328;-0.513;-74.893;-86.341;-20.343
7.06;-1.109;0.264;-0.492;-74.078;-89.123;-20.915
7.07;-1.112;0.28;-0.538;-61.837;-98.613;-18.285
7.08;-1.135;0.211;-0.675;-70.465;-100.709;-18.537
7.09;-1.183;0.163;-0.686;-78.46;-101.738;-15.183
7.1;-1.187;0.344;-0.66;-112.668;-109.535;-26.197
7.11;-1.123;0.335;-0.755;-107.919;-109.977;-30.473
7.14;-0.828;0.207;-0.799;-114.291;-107.934;-32.706
7.15;-0.755;0.242;-0.735;-114.581;-104.848;-31.067
7.17;-0.69;0.017;-0.554;-100.678;-101.608;-27.279
7.18;-0.695;-0.027;-0.523;-76.25;-98.407;-24.55
7.19;-0.71;0.008;-0.479;-50.038;-95.274;-23.537
7.2;-0.714;0.092;-0.455;-31.867;-91.913;-22.767
7.21;-0.694;0.185;-0.452;-28.285;-88.056;-22.424
7.22;-0.671;0.252;-0.444;-37.63;-83.773;-23.636
7.23;-0.665;0.259;-0.439;-74.726;-57.294;-24.116
7.24;-0.679;0.211;-0.454;-76.684;-55.091;-24.947
7.28;-1.011;-0.034;0.008;-36.433;-63.605;-16.768
7.29;-1.152;-0.08;0.096;-17.256;-72.858;-17.904
7.3;-1.223;-0.187;0.231;-2.363;-81.73;-18.735
7.31;-1.196;-0.283;0.397;8.399;-82.988;-15.93
7.32;-1.08;-0.29;0.561;15.396;-73.384;-7.934
7.33;-0.932;-0.232;0.776;10.008;-57.492;3.849
7.62;-1.036;0.272;0.008;7.073;30.64;5.038
7.63;-1.042;0.246;0.009;0.755;30.267;4.291
7.75;-1.015;0.367;-0.049;-1.776;30.808;4.192
7.76;-1.03;0.364;-0.054;-0.899;31.57;4.505
7.77;-1.044;0.328;-0.046;51.28;51.471;5.701
7.78;-1.064;0.277;-0.011;55.892;54.2;5.633
7.79;-1.083;0.227;0.035;41.806;64.093;-0.32
7.8;-1.096;0.169;0.077;31.174;64.383;-2.05
7.82;-1.132;0.015;0.11;20.48;64.36;-3.3
7.83;-1.133;-0.048;0.085;10.069;63.544;-4.954
7.86;-1.187;-0.124;-0.207;1.662;61.029;-6.845
7.87;-1.181;-0.122;-0.245;-6.197;56.189;-8.285
7.88;-1.187;-0.094;-0.262;-11.951;51.646;-8.918
7.89;-1.179;-0.05;-0.261;-13.529;47.218;-9.062
7.9;-1.148;-0.01;-0.259;68.636;6.349;-8.239
7.91;-1.105;0.007;-0.244;77.218;1.707;-7.729
7.92;-1.067;-0.003;-0.223;83.262;-3.59;-7.424
7.93;-1.034;-0.003;-0.201;86.768;-7.851;-7.973
7.95;-1.068;0.005;-0.142;86.616;-12.47;-10.107
7.96;-1.091;0.042;-0.138;82.759;-16.166;-13.994
7.97;-1.138;0.069;-0.148;67.462;-20.305;-24.375
7.98;-1.222;0.131;-0.155;62.858;-21.113;-26.059
7.99;-1.155;0.04;-0.197;59.162;-21.09;-26.441
8;-1.151;0.067;-0.215;54.322;-20.648;-27.294
8.01;-1.175;0.108;-0.245;48.544;-22.919;-26.22
8.02;-1.2;0.144;-0.289;37.355;-27.172;-29.367
8.03;-1.182;0.16;-0.318;35.678;-25.427;-27.988
8.04;-1.154;0.172;-0.356;33.956;-25.244;-23.262
8.05;-1.129;0.182;-0.397;31.288;-25.96;-19.581
8.06;-1.1;0.178;-0.424;25.526;-27.576;-16.799
8.07;-1.109;0.201;-0.462;21.898;-27.873;-14.36
8.08;-1.098;0.211;-0.48;17.881;-28.155;-12.226
8.09;-1.069;0.207;-0.484;13.034;-28.986;-9.817
8.1;-1.067;0.213;-0.494;9.657;-29.688;-7.218
8.11;-1.066;0.205;-0.487;3.498;-34.123;-7.355
8.12;-1.046;0.174;-0.466;-4.825;-38.864;-8.148
8.13;-1.038;0.126;-0.442;-13.095;-41.486;-7.149
8.14;-1.021;0.091;-0.413;-20.434;-44.688;-5.8
;;;;-24.962;-48.232;-5.785
;;;;-29.398;-50.77;-5.793
