epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1681555605725,2023-04-15T12.46.45.725,0.000,-1.030,0.232,-0.147
1681555605735,2023-04-15T12.46.45.735,0.010,-1.078,0.272,-0.187
1681555605745,2023-04-15T12.46.45.745,0.020,-1.156,0.371,-0.250
1681555605755,2023-04-15T12.46.45.755,0.030,-1.291,0.394,-0.350
1681555605765,2023-04-15T12.46.45.765,0.040,-1.354,0.320,-0.407
1681555605775,2023-04-15T12.46.45.775,0.050,-1.317,0.296,-0.397
1681555605785,2023-04-15T12.46.45.785,0.060,-1.272,0.303,-0.339
1681555605795,2023-04-15T12.46.45.795,0.070,-1.229,0.244,-0.303
1681555605805,2023-04-15T12.46.45.805,0.080,-1.180,0.185,-0.265
1681555605815,2023-04-15T12.46.45.815,0.090,-1.155,0.147,-0.217
1681555605825,2023-04-15T12.46.45.825,0.100,-1.138,0.099,-0.165
1681555605835,2023-04-15T12.46.45.835,0.110,-1.100,0.042,-0.099
1681555605845,2023-04-15T12.46.45.845,0.120,-1.062,0.005,-0.037
1681555605855,2023-04-15T12.46.45.855,0.130,-1.014,-0.046,0.000
1681555605865,2023-04-15T12.46.45.865,0.140,-0.992,-0.117,0.029
1681555605875,2023-04-15T12.46.45.875,0.150,-0.983,-0.171,0.049
1681555605885,2023-04-15T12.46.45.885,0.160,-0.963,-0.201,0.028
1681555605895,2023-04-15T12.46.45.895,0.170,-0.969,-0.196,-0.006
1681555605905,2023-04-15T12.46.45.905,0.180,-0.987,-0.132,-0.056
1681555605915,2023-04-15T12.46.45.915,0.190,-1.040,-0.024,-0.088
1681555605925,2023-04-15T12.46.45.925,0.200,-1.039,0.075,-0.123
1681555605935,2023-04-15T12.46.45.935,0.210,-1.030,0.159,-0.144
1681555605945,2023-04-15T12.46.45.945,0.220,-0.988,0.166,-0.171
1681555605955,2023-04-15T12.46.45.955,0.230,-0.977,0.143,-0.212
1681555605965,2023-04-15T12.46.45.965,0.240,-0.965,0.143,-0.253
1681555605975,2023-04-15T12.46.45.975,0.250,-0.986,0.142,-0.285
1681555605985,2023-04-15T12.46.45.985,0.260,-1.063,0.134,-0.355
1681555605995,2023-04-15T12.46.45.995,0.270,-1.149,0.150,-0.447
1681555606005,2023-04-15T12.46.46.005,0.280,-1.200,0.212,-0.549
1681555606015,2023-04-15T12.46.46.015,0.290,-1.260,0.279,-0.630
1681555606025,2023-04-15T12.46.46.025,0.300,-1.287,0.302,-0.627
1681555606035,2023-04-15T12.46.46.035,0.310,-1.271,0.305,-0.566
1681555606045,2023-04-15T12.46.46.045,0.320,-1.228,0.326,-0.501
1681555606055,2023-04-15T12.46.46.055,0.330,-1.199,0.345,-0.455
1681555606065,2023-04-15T12.46.46.065,0.340,-1.198,0.331,-0.418
1681555606075,2023-04-15T12.46.46.075,0.350,-1.194,0.290,-0.398
1681555606085,2023-04-15T12.46.46.085,0.360,-1.195,0.244,-0.389
1681555606095,2023-04-15T12.46.46.095,0.370,-1.198,0.242,-0.396
1681555606105,2023-04-15T12.46.46.105,0.380,-1.201,0.241,-0.434
1681555606115,2023-04-15T12.46.46.115,0.390,-1.208,0.227,-0.467
1681555606125,2023-04-15T12.46.46.125,0.400,-1.213,0.241,-0.472
1681555606135,2023-04-15T12.46.46.135,0.410,-1.189,0.242,-0.467
1681555606145,2023-04-15T12.46.46.145,0.420,-1.166,0.224,-0.442
1681555606155,2023-04-15T12.46.46.155,0.430,-1.173,0.206,-0.430
1681555606165,2023-04-15T12.46.46.165,0.440,-1.178,0.169,-0.447
1681555606175,2023-04-15T12.46.46.175,0.450,-1.149,0.138,-0.456
1681555606185,2023-04-15T12.46.46.185,0.460,-1.114,0.148,-0.445
1681555606195,2023-04-15T12.46.46.195,0.470,-1.061,0.173,-0.433
1681555606205,2023-04-15T12.46.46.205,0.480,-1.015,0.184,-0.426
1681555606215,2023-04-15T12.46.46.215,0.490,-0.980,0.173,-0.419
1681555606225,2023-04-15T12.46.46.225,0.500,-0.950,0.149,-0.413
1681555606235,2023-04-15T12.46.46.235,0.510,-0.922,0.129,-0.400
1681555606245,2023-04-15T12.46.46.245,0.520,-0.896,0.121,-0.397
1681555606255,2023-04-15T12.46.46.255,0.530,-0.863,0.109,-0.390
1681555606265,2023-04-15T12.46.46.265,0.540,-0.837,0.094,-0.383
1681555606275,2023-04-15T12.46.46.275,0.550,-0.815,0.076,-0.373
1681555606285,2023-04-15T12.46.46.285,0.560,-0.797,0.051,-0.361
1681555606295,2023-04-15T12.46.46.295,0.570,-0.770,0.040,-0.343
1681555606305,2023-04-15T12.46.46.305,0.580,-0.755,0.072,-0.319
1681555606315,2023-04-15T12.46.46.315,0.590,-0.736,0.119,-0.299
1681555606325,2023-04-15T12.46.46.325,0.600,-0.711,0.145,-0.282
1681555606335,2023-04-15T12.46.46.335,0.610,-0.714,0.170,-0.262
1681555606345,2023-04-15T12.46.46.345,0.620,-0.700,0.187,-0.232
1681555606355,2023-04-15T12.46.46.355,0.630,-0.728,0.182,-0.191
1681555606365,2023-04-15T12.46.46.365,0.640,-0.799,0.194,-0.132
1681555606375,2023-04-15T12.46.46.375,0.650,-0.821,0.183,-0.038
1681555606385,2023-04-15T12.46.46.385,0.660,-0.837,0.123,0.113
1681555606395,2023-04-15T12.46.46.395,0.670,-0.812,0.013,0.290
1681555606405,2023-04-15T12.46.46.405,0.680,-0.713,-0.135,0.431
1681555606415,2023-04-15T12.46.46.415,0.690,-0.646,-0.269,0.561
1681555606425,2023-04-15T12.46.46.425,0.700,-0.697,-0.351,0.743
1681555606435,2023-04-15T12.46.46.435,0.710,-0.805,-0.389,0.922
1681555606445,2023-04-15T12.46.46.445,0.720,-0.926,-0.373,0.944
1681555606455,2023-04-15T12.46.46.455,0.730,-1.007,-0.301,0.862
1681555606465,2023-04-15T12.46.46.465,0.740,-1.014,-0.170,0.796
1681555606475,2023-04-15T12.46.46.475,0.750,-0.951,-0.029,0.669
1681555606485,2023-04-15T12.46.46.485,0.760,-1.062,0.133,0.445
1681555606495,2023-04-15T12.46.46.495,0.770,-1.573,0.342,0.155
1681555606505,2023-04-15T12.46.46.505,0.780,-2.016,0.464,-0.065
1681555606515,2023-04-15T12.46.46.515,0.790,-1.848,0.258,-0.068
1681555606525,2023-04-15T12.46.46.525,0.800,-1.459,-0.061,0.208
1681555606535,2023-04-15T12.46.46.535,0.810,-1.051,-0.352,0.312
1681555606545,2023-04-15T12.46.46.545,0.820,-0.903,-0.462,0.137
1681555606555,2023-04-15T12.46.46.555,0.830,-0.916,-0.301,-0.115
1681555606565,2023-04-15T12.46.46.565,0.840,-0.931,-0.039,-0.351
1681555606575,2023-04-15T12.46.46.575,0.850,-0.988,0.142,-0.393
1681555606585,2023-04-15T12.46.46.585,0.860,-0.967,0.224,-0.364
1681555606595,2023-04-15T12.46.46.595,0.870,-0.949,0.322,-0.312
1681555606605,2023-04-15T12.46.46.605,0.880,-0.953,0.351,-0.211
1681555606615,2023-04-15T12.46.46.615,0.890,-0.994,0.272,-0.119
1681555606625,2023-04-15T12.46.46.625,0.900,-1.023,0.190,-0.032
1681555606635,2023-04-15T12.46.46.635,0.910,-1.008,0.152,0.034
1681555606645,2023-04-15T12.46.46.645,0.920,-0.975,0.172,0.084
1681555606655,2023-04-15T12.46.46.655,0.930,-0.932,0.245,0.085
1681555606665,2023-04-15T12.46.46.665,0.940,-0.951,0.327,0.045
1681555606675,2023-04-15T12.46.46.675,0.950,-0.997,0.404,0.034
1681555606685,2023-04-15T12.46.46.685,0.960,-1.009,0.447,0.071
1681555606695,2023-04-15T12.46.46.695,0.970,-0.964,0.409,0.068
1681555606705,2023-04-15T12.46.46.705,0.980,-0.946,0.322,0.018
1681555606715,2023-04-15T12.46.46.715,0.990,-0.953,0.235,-0.023
1681555606725,2023-04-15T12.46.46.725,1.000,-0.973,0.175,-0.065
1681555606735,2023-04-15T12.46.46.735,1.010,-1.005,0.150,-0.096
1681555606745,2023-04-15T12.46.46.745,1.020,-1.015,0.159,-0.115
1681555606755,2023-04-15T12.46.46.755,1.030,-1.023,0.201,-0.134
1681555606765,2023-04-15T12.46.46.765,1.040,-1.023,0.248,-0.141
1681555606775,2023-04-15T12.46.46.775,1.050,-1.013,0.262,-0.154
1681555606785,2023-04-15T12.46.46.785,1.060,-0.995,0.247,-0.178
1681555606795,2023-04-15T12.46.46.795,1.070,-0.986,0.257,-0.209
1681555606805,2023-04-15T12.46.46.805,1.080,-0.996,0.291,-0.222
1681555606815,2023-04-15T12.46.46.815,1.090,-1.010,0.310,-0.225
1681555606825,2023-04-15T12.46.46.825,1.100,-1.004,0.297,-0.205
1681555606835,2023-04-15T12.46.46.835,1.110,-0.996,0.256,-0.192
1681555606845,2023-04-15T12.46.46.845,1.120,-0.999,0.204,-0.194
1681555606855,2023-04-15T12.46.46.855,1.130,-1.022,0.148,-0.187
1681555606865,2023-04-15T12.46.46.865,1.140,-1.044,0.114,-0.170
1681555606875,2023-04-15T12.46.46.875,1.150,-1.050,0.117,-0.146
1681555606885,2023-04-15T12.46.46.885,1.160,-1.044,0.145,-0.126
1681555606895,2023-04-15T12.46.46.895,1.170,-1.029,0.185,-0.112
1681555606905,2023-04-15T12.46.46.905,1.180,-1.031,0.218,-0.101
1681555606915,2023-04-15T12.46.46.915,1.190,-1.062,0.229,-0.087
1681555606925,2023-04-15T12.46.46.925,1.200,-1.102,0.229,-0.062
1681555606935,2023-04-15T12.46.46.935,1.210,-1.137,0.214,-0.036
1681555606945,2023-04-15T12.46.46.945,1.220,-1.147,0.183,0.014
1681555606955,2023-04-15T12.46.46.955,1.230,-1.114,0.158,0.099
1681555606965,2023-04-15T12.46.46.965,1.240,-1.063,0.152,0.181
1681555606975,2023-04-15T12.46.46.975,1.250,-1.038,0.153,0.208
1681555606985,2023-04-15T12.46.46.985,1.260,-1.056,0.156,0.181
1681555606995,2023-04-15T12.46.46.995,1.270,-1.085,0.162,0.109
1681555607005,2023-04-15T12.46.47.005,1.280,-1.108,0.180,0.038
1681555607015,2023-04-15T12.46.47.015,1.290,-1.137,0.218,-0.013
1681555607025,2023-04-15T12.46.47.025,1.300,-1.138,0.254,-0.049
1681555607035,2023-04-15T12.46.47.035,1.310,-1.113,0.257,-0.085
1681555607045,2023-04-15T12.46.47.045,1.320,-1.094,0.249,-0.100
1681555607055,2023-04-15T12.46.47.055,1.330,-1.110,0.245,-0.117
1681555607065,2023-04-15T12.46.47.065,1.340,-1.145,0.239,-0.152
1681555607075,2023-04-15T12.46.47.075,1.350,-1.176,0.221,-0.191
1681555607085,2023-04-15T12.46.47.085,1.360,-1.203,0.201,-0.204
1681555607095,2023-04-15T12.46.47.095,1.370,-1.216,0.234,-0.156
1681555607105,2023-04-15T12.46.47.105,1.380,-1.263,0.363,-0.095
1681555607115,2023-04-15T12.46.47.115,1.390,-1.481,0.405,-0.073
1681555607125,2023-04-15T12.46.47.125,1.400,-1.643,0.232,-0.022
1681555607135,2023-04-15T12.46.47.135,1.410,-1.582,-0.028,0.150
1681555607145,2023-04-15T12.46.47.145,1.420,-1.423,-0.314,0.303
1681555607155,2023-04-15T12.46.47.155,1.430,-1.251,-0.622,0.315
1681555607165,2023-04-15T12.46.47.165,1.440,-1.196,-0.726,0.343
1681555607175,2023-04-15T12.46.47.175,1.450,-1.094,-0.590,0.294
1681555607185,2023-04-15T12.46.47.185,1.460,-1.171,-0.338,0.205
1681555607195,2023-04-15T12.46.47.195,1.470,-1.137,-0.032,0.149
1681555607205,2023-04-15T12.46.47.205,1.480,-0.984,0.216,0.017
1681555607215,2023-04-15T12.46.47.215,1.490,-1.057,0.364,-0.233
1681555607225,2023-04-15T12.46.47.225,1.500,-1.337,0.451,-0.503
1681555607235,2023-04-15T12.46.47.235,1.510,-1.503,0.503,-0.658
1681555607245,2023-04-15T12.46.47.245,1.520,-1.397,0.555,-0.604
1681555607255,2023-04-15T12.46.47.255,1.530,-1.263,0.516,-0.555
1681555607265,2023-04-15T12.46.47.265,1.540,-1.239,0.396,-0.586
1681555607275,2023-04-15T12.46.47.275,1.550,-1.269,0.311,-0.660
1681555607285,2023-04-15T12.46.47.285,1.560,-1.307,0.289,-0.677
1681555607295,2023-04-15T12.46.47.295,1.570,-1.222,0.326,-0.602
1681555607305,2023-04-15T12.46.47.305,1.580,-1.183,0.408,-0.570
1681555607315,2023-04-15T12.46.47.315,1.590,-1.187,0.459,-0.601
1681555607325,2023-04-15T12.46.47.325,1.600,-1.160,0.512,-0.643
1681555607335,2023-04-15T12.46.47.335,1.610,-1.150,0.539,-0.653
1681555607345,2023-04-15T12.46.47.345,1.620,-1.143,0.505,-0.627
1681555607355,2023-04-15T12.46.47.355,1.630,-1.152,0.434,-0.636
1681555607365,2023-04-15T12.46.47.365,1.640,-1.139,0.373,-0.647
1681555607375,2023-04-15T12.46.47.375,1.650,-1.095,0.316,-0.602
1681555607385,2023-04-15T12.46.47.385,1.660,-1.062,0.293,-0.583
1681555607395,2023-04-15T12.46.47.395,1.670,-1.032,0.288,-0.583
1681555607405,2023-04-15T12.46.47.405,1.680,-1.000,0.297,-0.558
1681555607415,2023-04-15T12.46.47.415,1.690,-0.969,0.291,-0.547
1681555607425,2023-04-15T12.46.47.425,1.700,-0.941,0.271,-0.516
1681555607435,2023-04-15T12.46.47.435,1.710,-0.907,0.252,-0.486
1681555607445,2023-04-15T12.46.47.445,1.720,-0.871,0.224,-0.466
1681555607455,2023-04-15T12.46.47.455,1.730,-0.835,0.182,-0.445
1681555607465,2023-04-15T12.46.47.465,1.740,-0.810,0.145,-0.427
1681555607475,2023-04-15T12.46.47.475,1.750,-0.778,0.125,-0.404
1681555607485,2023-04-15T12.46.47.485,1.760,-0.745,0.119,-0.376
1681555607495,2023-04-15T12.46.47.495,1.770,-0.720,0.120,-0.361
1681555607505,2023-04-15T12.46.47.505,1.780,-0.698,0.118,-0.367
1681555607515,2023-04-15T12.46.47.515,1.790,-0.682,0.108,-0.375
1681555607525,2023-04-15T12.46.47.525,1.800,-0.676,0.089,-0.379
1681555607535,2023-04-15T12.46.47.535,1.810,-0.669,0.066,-0.376
1681555607545,2023-04-15T12.46.47.545,1.820,-0.672,0.023,-0.359
1681555607555,2023-04-15T12.46.47.555,1.830,-0.675,-0.035,-0.309
1681555607565,2023-04-15T12.46.47.565,1.840,-0.673,-0.069,-0.273
1681555607575,2023-04-15T12.46.47.575,1.850,-0.699,-0.094,-0.252
1681555607585,2023-04-15T12.46.47.585,1.860,-0.744,-0.120,-0.242
1681555607595,2023-04-15T12.46.47.595,1.870,-0.809,-0.133,-0.197
1681555607605,2023-04-15T12.46.47.605,1.880,-0.882,-0.104,-0.121
1681555607615,2023-04-15T12.46.47.615,1.890,-0.952,-0.063,-0.043
1681555607625,2023-04-15T12.46.47.625,1.900,-1.004,-0.022,0.063
1681555607635,2023-04-15T12.46.47.635,1.910,-1.028,0.016,0.246
1681555607645,2023-04-15T12.46.47.645,1.920,-0.987,0.022,0.474
1681555607655,2023-04-15T12.46.47.655,1.930,-0.922,-0.047,0.683
1681555607665,2023-04-15T12.46.47.665,1.940,-0.806,-0.132,0.905
1681555607675,2023-04-15T12.46.47.675,1.950,-0.676,-0.211,1.099
1681555607685,2023-04-15T12.46.47.685,1.960,-0.692,-0.189,1.190
1681555607695,2023-04-15T12.46.47.695,1.970,-0.819,-0.108,1.079
1681555607705,2023-04-15T12.46.47.705,1.980,-0.888,-0.046,0.831
1681555607715,2023-04-15T12.46.47.715,1.990,-0.826,0.041,0.621
1681555607725,2023-04-15T12.46.47.725,2.000,-0.736,0.128,0.426
1681555607735,2023-04-15T12.46.47.735,2.010,-0.739,0.258,0.021
1681555607745,2023-04-15T12.46.47.745,2.020,-1.457,0.379,-0.423
1681555607755,2023-04-15T12.46.47.755,2.030,-2.687,0.355,-0.570
1681555607765,2023-04-15T12.46.47.765,2.040,-2.854,0.368,-0.517
1681555607775,2023-04-15T12.46.47.775,2.050,-1.873,0.238,0.094
1681555607785,2023-04-15T12.46.47.785,2.060,-0.896,0.055,0.657
1681555607795,2023-04-15T12.46.47.795,2.070,-0.561,-0.144,0.622
1681555607805,2023-04-15T12.46.47.805,2.080,-0.648,-0.287,0.306
1681555607815,2023-04-15T12.46.47.815,2.090,-0.925,-0.234,-0.048
1681555607825,2023-04-15T12.46.47.825,2.100,-1.105,-0.091,-0.323
1681555607835,2023-04-15T12.46.47.835,2.110,-1.125,0.036,-0.464
1681555607845,2023-04-15T12.46.47.845,2.120,-1.026,0.138,-0.484
1681555607855,2023-04-15T12.46.47.855,2.130,-0.927,0.225,-0.406
1681555607865,2023-04-15T12.46.47.865,2.140,-0.895,0.249,-0.290
1681555607875,2023-04-15T12.46.47.875,2.150,-0.895,0.222,-0.193
1681555607885,2023-04-15T12.46.47.885,2.160,-0.918,0.197,-0.115
1681555607895,2023-04-15T12.46.47.895,2.170,-0.873,0.199,-0.084
1681555607905,2023-04-15T12.46.47.905,2.180,-0.848,0.253,-0.117
1681555607915,2023-04-15T12.46.47.915,2.190,-0.941,0.295,-0.168
1681555607925,2023-04-15T12.46.47.925,2.200,-1.047,0.306,-0.198
1681555607935,2023-04-15T12.46.47.935,2.210,-1.097,0.329,-0.183
1681555607945,2023-04-15T12.46.47.945,2.220,-1.075,0.347,-0.135
1681555607955,2023-04-15T12.46.47.955,2.230,-1.009,0.308,-0.098
1681555607965,2023-04-15T12.46.47.965,2.240,-0.922,0.241,-0.115
1681555607975,2023-04-15T12.46.47.975,2.250,-0.885,0.213,-0.166
1681555607985,2023-04-15T12.46.47.985,2.260,-0.908,0.223,-0.223
1681555607995,2023-04-15T12.46.47.995,2.270,-0.969,0.262,-0.250
1681555608005,2023-04-15T12.46.48.005,2.280,-1.021,0.321,-0.258
1681555608015,2023-04-15T12.46.48.015,2.290,-1.037,0.371,-0.243
1681555608025,2023-04-15T12.46.48.025,2.300,-1.042,0.393,-0.204
1681555608035,2023-04-15T12.46.48.035,2.310,-1.047,0.362,-0.155
1681555608045,2023-04-15T12.46.48.045,2.320,-1.050,0.297,-0.117
1681555608055,2023-04-15T12.46.48.055,2.330,-1.048,0.235,-0.082
1681555608065,2023-04-15T12.46.48.065,2.340,-1.047,0.187,-0.032
